Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1646.054836
FDW14,OUT017,1305.429801
NCN55,OUT010,649.261843
FDQ58,OUT017,2329.787295
FDY38,OUT027,5929.857776
FDH56,OUT046,1855.909342
FDL48,OUT018,683.5198489
FDC48,OUT027,1898.231728
FDN33,OUT045,1498.762327
FDA36,OUT017,3071.19717
FDT44,OUT017,1871.271377
FDQ56,OUT045,1561.573784
NCC54,OUT019,604.5593437
FDU11,OUT049,1933.323235
DRL59,OUT013,815.6083045
FDM24,OUT049,2371.630468
FDI57,OUT045,3228.599181
DRC12,OUT018,2968.45722
NCM42,OUT027,3424.583053
FDA46,OUT010,485.6597988
FDA31,OUT013,2808.512977
NCJ31,OUT035,3825.715862
FDG52,OUT046,745.8004903
NCL19,OUT019,372.4884408
FDS10,OUT035,3035.641323
FDX22,OUT010,650.2037703
NCF19,OUT035,747.4942816
NCE06,OUT046,2499.744867
DRC27,OUT046,4017.662238
FDE21,OUT035,1990.814484
NCR42,OUT019,73.48968275
FDX51,OUT018,2900.737741
NCR06,OUT018,400.5365333
FDU31,OUT027,5485.390373
FDU59,OUT017,2292.376329
FDR03,OUT027,5075.594851
FDS49,OUT027,1781.379836
FDD48,OUT010,279.2844156
NCF18,OUT017,3129.043233
NCD43,OUT027,2305.004179
NCD54,OUT018,1931.324359
FDY19,OUT010,240.727103
NCY54,OUT017,2713.315848
NCL19,OUT018,2124.546014
FDP23,OUT010,398.8510198
FDC26,OUT013,1664.783286
FDR14,OUT010,154.0612249
NCS41,OUT035,3287.595518
FDF41,OUT035,3781.766277
FDU34,OUT046,2134.410313
DRH11,OUT046,778.5661754
FDM03,OUT013,1700.473809
FDS31,OUT017,3133.431437
FDJ20,OUT017,1889.003706
FDV44,OUT027,4857.062641
FDG02,OUT049,3041.477415
FDA09,OUT013,3128.783353
FDT04,OUT013,633.9919449
FDL58,OUT019,545.9009162
FDE52,OUT045,1356.39356
FDW12,OUT035,2645.39242
FDL51,OUT017,3649.459687
NCY42,OUT027,3022.41482
FDR07,OUT017,1475.159714
FDN40,OUT045,2358.236844
FDB35,OUT027,2523.715127
FDA22,OUT017,2429.934613
NCL06,OUT046,4470.56698
FDI35,OUT013,3120.860915
NCW42,OUT045,3916.068539
NCX06,OUT049,3018.822908
FDC37,OUT027,2416.690752
FDZ14,OUT018,1786.193711
DRG49,OUT049,4302.226336
NCG06,OUT045,4010.92061
DRC36,OUT045,2808.023798
FDV21,OUT019,593.5428291
FDB53,OUT046,2799.168632
DRP47,OUT019,608.8782487
FDA14,OUT013,2553.528674
DRC24,OUT035,2632.355515
FDW21,OUT018,1486.787811
NCH29,OUT046,1690.640509
FDU58,OUT013,3353.227745
FDY27,OUT017,2749.886623
FDV56,OUT035,1636.688725
FDT59,OUT046,4004.709312
FDB23,OUT046,3580.313589
FDR49,OUT045,808.4215266
FDB03,OUT010,623.5470707
FDN39,OUT045,2826.850941
FDX02,OUT027,6012.560738
FDQ16,OUT027,2532.321307
FDU35,OUT018,1554.352379
NCT29,OUT013,1994.287311
FDZ27,OUT046,779.0760213
FDN57,OUT017,2004.75805
FDA03,OUT018,2201.626156
FDZ36,OUT045,3279.490582
NCU05,OUT013,1290.453494
FDT39,OUT018,1998.342946
FDK60,OUT017,1592.639125
FDZ25,OUT017,2901.6756
FDG12,OUT046,2126.576323
DRB01,OUT019,487.9663352
NCC43,OUT027,6479.894977
FDX13,OUT019,590.0857158
FDM22,OUT049,833.3411571
FDJ03,OUT027,1503.341016
FDU14,OUT018,3814.064873
FDB33,OUT010,330.7135108
FDP27,OUT046,3161.681864
FDO38,OUT010,155.8927846
FDE28,OUT027,6492.946932
FDO27,OUT035,1509.620013
DRL23,OUT027,2259.98215
FDS28,OUT046,790.2143722
FDX24,OUT013,1442.837763
FDZ02,OUT035,1542.219723
FDL46,OUT045,1743.804118
FDS60,OUT027,4147.528193
NCO06,OUT017,532.0540618
FDO16,OUT035,1613.937149
FDC60,OUT049,1680.823017
FDA48,OUT018,3731.475523
FDZ36,OUT027,4721.566503
FDK27,OUT045,2029.644888
